,TCP UL/DL (Bytes),Avg RTT UL/DL (ms),Avg Bearer UL/DL (kbps),clusters
334,21569572.935152996,25.0,130.0,0
335,859439.0,188.0,5177.0,0
336,21569572.935152996,35.32576582180065,127.0,0
337,21569572.935152996,29.0,92.0,0
338,1109572.0,149.0,67445.0,0
339,21569572.935152996,47.0,118.0,0
340,765394.6648110661,331.0,154.0,0
341,43139145.87030599,70.6515316436013,205.0,0
342,21575902.935152996,142.0,12374.0,0
343,21569572.935152996,38.0,104.0,0
344,21569572.935152996,24.0,88.0,0
345,43139145.87030599,70.6515316436013,207.0,0
346,24945445.935152996,82.0,73030.0,0
347,21569572.935152996,30.0,91.0,0
348,43139145.87030599,118.0,113.0,0
349,21569572.935152996,35.32576582180065,11.0,0
350,21569572.935152996,35.32576582180065,118.0,0
351,455391.0,70.0,37274.0,0
352,21569572.935152996,29.0,117.0,0
353,41940.0,1205.0,374.0,0
354,43139145.87030599,87.0,171.0,0
355,21569572.935152996,37.0,84.0,0
356,21569572.935152996,35.32576582180065,97.0,0
357,86278291.74061199,141.3030632872026,351.0,0
358,21569572.935152996,29.0,63.0,0
359,21569572.935152996,35.32576582180065,104.0,0
360,21569572.935152996,29.0,92.0,0
361,189732.0,39.0,115146.0,0
362,21569572.935152996,35.32576582180065,105.0,0
363,64708718.80545898,137.0,283.0,0
364,21695732.935152996,83.32576582180064,48747.0,0
365,21569572.935152996,39.0,72.0,0
366,21569572.935152996,35.32576582180065,128.0,0
367,21569572.935152996,18.0,113.0,0
368,21569572.935152996,50.0,115.0,0
369,21569572.935152996,59.0,84.0,0
370,21569572.935152996,35.32576582180065,98.0,0
371,12264.0,53.0,8240.0,0
372,10202.0,584.0,146.0,0
373,43139145.87030599,75.32576582180064,121.0,0
374,21569572.935152996,35.32576582180065,122.0,0
375,55386.0,58.0,3357.0,0
376,400966.0,61.0,26574.0,0
377,21569572.935152996,76.0,69.0,0
378,2718953.6648110664,119.0,107431.0,0
379,21569572.935152996,21.0,109.0,0
380,22357018.59996406,79.32576582180064,4222.0,0
381,769424.6648110661,277.0,1757.0,0
382,14164528.0,464.0,26514.0,0
383,21569572.935152996,35.32576582180065,55.0,0
384,21569572.935152996,38.0,100.0,0
385,21569572.935152996,27.0,10548.0,0
386,43139145.87030599,103.0,177.0,0
387,223228.0,346.0,1283.0,0
388,40373.0,57.0,38159.0,0
389,43139145.87030599,104.0,178.0,0
390,1755883.0,45.0,107882.0,0
391,76012.0,37.0,55771.0,0
392,103084.0,314.0,1860.0,0
393,21569572.935152996,69.0,86.0,0
394,25399675.935152996,177.32576582180064,37483.0,0
395,21569572.935152996,27.0,99.0,0
396,782063.6648110661,58.0,8692.0,0
397,46549475.935153,93.0,1580.0,0
398,21569572.935152996,38.0,96.0,0
399,51292.0,45.0,15720.0,0
400,21569572.935152996,35.32576582180065,138.0,0
401,21569572.935152996,35.32576582180065,100.0,0
402,21569572.935152996,67.0,75.0,0
403,43205180.87030599,407.6515316436013,85218.0,0
404,21569572.935152996,40.0,95.0,0
405,21569572.935152996,35.32576582180065,131.0,0
406,43139145.87030599,59.0,203.0,0
407,774110.6648110661,69.0,647.0,0
408,21623621.935152996,100.0,6410.0,0
409,21569572.935152996,16.0,100.0,0
410,42380781.205494925,128.0,109.0,0
411,43924.0,74.0,24092.0,0
412,43139145.87030599,68.0,202.0,0
413,21730858.935152996,300.3257658218007,7798.0,0
414,1343127.0,280.0,6807.0,0
415,21569572.935152996,30.0,91.0,0
416,21569572.935152996,36.0,10764.0,0
417,21569572.935152996,37.0,98.0,0
418,21569572.935152996,35.32576582180065,121.0,0
419,43139145.87030599,70.6515316436013,171.0,0
420,118188.0,51.0,127515.0,0
421,64708718.80545898,132.32576582180064,961.0,0
422,21569572.935152996,39.0,89.0,0
423,57120.0,76.0,20916.0,0
424,21569572.935152996,35.32576582180065,127.0,0
425,21569572.935152996,35.32576582180065,67.0,0
426,774909.6648110661,58.0,2054.0,0
427,43139145.87030599,70.6515316436013,131.0,0
428,21569572.935152996,46.0,122.0,0
429,23251739.59996406,173.32576582180064,38738.0,0
430,21569572.935152996,35.32576582180065,97.0,0
431,1540421.0,79.0,35936.0,0
432,12574.0,55.0,6586.0,0
433,22302116.935152996,87.0,154596.0,0
434,21569572.935152996,35.32576582180065,138.0,0
435,43139145.87030599,114.0,478.0,0
436,43221891.87030599,158.0,41589.0,0
437,21569572.935152996,35.32576582180065,115.0,0
438,21569572.935152996,47.0,81.0,0
439,6735757.0,79.0,43973.0,0
440,21569572.935152996,35.0,72.0,0
441,770598.6648110661,39.0,15761.0,0
442,21569572.935152996,51.0,93.0,0
443,64708718.80545898,98.0,262.0,0
444,21606209.935152996,100.0,41388.0,0
445,2290301.994433198,185.0,51702.0,0
446,42917363.935153,254.0,25215.0,0
447,43139145.87030599,49.0,143.0,0
